name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
Chilli Flakes,Yes,No,3.6/5,46,Banashankari,Quick Bites,,"Fast Food, Italian, Beverages",500,Delivery
Calcutta Cafe,Yes,No,3.5/5,45,Kumaraswamy Layout,Quick Bites,,"Bengali, Chinese, Sandwich",350,Delivery
Old Mumbai Ice Cream,Yes,No,3.9/5,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150,Delivery
Donne Biriyani House,Yes,No,3.9/5,441,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400,Delivery
By 2 Coffee,Yes,No,3.9/5,25,Basavanagudi,Quick Bites,,South Indian,100,Delivery
Kedia's Fun Food,Yes,No,4.3/5,630,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200,Delivery
Davangere Butter Dosa Hotel,Yes,No,3.8/5,25,Kumaraswamy Layout,Quick Bites,,South Indian,150,Delivery
Just Shawarma,Yes,No,3.9/5,160,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300,Delivery
Mini Punjabi Dhaba,Yes,No,4.2/5,287,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350,Delivery
Mulabagilu Dosa,Yes,No,3.6/5,11,Basavanagudi,Quick Bites,,South Indian,100,Delivery
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1/5,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Delivery
Gokul Veg,Yes,No,3.8/5,469,Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750,Delivery
Olive - Era,Yes,No,3.3/5,511,Kumaraswamy Layout,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery
Udupi Ruchi,Yes,No,3.9/5,57,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",200,Delivery
Madhappa Hindu Military Hotel,Yes,No,3.4/5,14,Banashankari,Quick Bites,,South Indian,300,Delivery
Gama Gama,Yes,No,3.9/5,264,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200,Delivery
The Vintage Cafe,Yes,No,3.0/5,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Delivery
Pizza Hut,Yes,No,3.8/5,693,Banashankari,Casual Dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750,Delivery
Mangalore Pearl,Yes,No,3.8/5,242,Jayanagar,Casual Dining,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",650,Delivery
Asha Sweets Centre,Yes,No,3.6/5,27,Basavanagudi,Dessert Parlor,,Fast Food,250,Delivery
Twiststick House,Yes,No,4.1/5,163,Basavanagudi,Quick Bites,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",500,Delivery
Cool Corner,Yes,No,4.2/5,191,Basavanagudi,Quick Bites,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",250,Delivery
Pizza Mane,Yes,No,3.5/5,32,Banashankari,Quick Bites,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",150,Delivery
Dal Tadkaa,Yes,No,2.5/5,247,Banashankari,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500,Delivery
Chutney Chang,Yes,Yes,4.1/5,2339,Jayanagar,Casual Dining,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ","1,500",Delivery
Mystique Palate,Yes,No,4.1/5,337,Jayanagar,Quick Bites,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",300,Delivery
Thamboola,Yes,No,3.9/5,135,Banashankari,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800,Delivery
Castle Rock,Yes,No,3.6/5,172,Uttarahalli,Casual Dining,Biryani,"North Indian, Chinese",700,Delivery
Vietnamese Kitchen,Yes,No,3.6/5,105,Banashankari,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700,Delivery
Smacznego,Yes,No,4.2/5,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Delivery
C Corner,Yes,No,3.2/5,36,Kumaraswamy Layout,Quick Bites,,"Fast Food, Street Food",200,Delivery
Paratha Merchant,Yes,No,3.1/5,39,Kumaraswamy Layout,Quick Bites,,North Indian,300,Delivery
North Rasoe,Yes,No,3.1/5,5,Kumaraswamy Layout,Casual Dining,,"North Indian, Chinese, Biryani, Kebab",500,Delivery
Inchara Restaurant,Yes,No,,0,Basavanagudi,Quick Bites,,"North Indian, Chinese",300,Delivery
Toscano,Yes,Yes,4.3/5,1129,Jayanagar,Casual Dining,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad","1,300",Delivery
Lord Of The Kitchen,Yes,No,3.9/5,56,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",350,Delivery
Stoned Monkey,Yes,No,4.3/5,860,Banashankari,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500,Delivery
Central Jail Restaurant,Yes,No,3.8/5,412,Jayanagar,Casual Dining,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese",700,Delivery
Bella,Yes,Yes,3.9/5,142,Jayanagar,Casual Dining,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian","1,000",Delivery
Vennela Andhra Meals,Yes,No,3.0/5,23,Jayanagar,Quick Bites,,Andhra,400,Delivery
New Prashanth Hotel,Yes,No,3.6/5,143,Jayanagar,Casual Dining,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani","South Indian, Biryani, Chinese, North Indian",750,Delivery
The Grillo,Yes,Yes,2.8/5,80,Jayanagar,Casual Dining,,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery
Re Malnad Nati Style Hotel,Yes,No,3.6/5,16,JP Nagar,Casual Dining,,South Indian,400,Delivery
Karma Kaapi,Yes,No,4.4/5,181,Jayanagar,Beverage Shop,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano","Beverages, Tea",250,Delivery
Tiwari's,Yes,No,3.8/5,70,Jayanagar,Quick Bites,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha","North Indian, Street Food",200,Delivery
Pizza Stop,Yes,No,3.8/5,164,Basavanagudi,Quick Bites,"Pizza, White Sauce Pasta, Masala Garlic Bread","Pizza, Italian",600,Delivery
Biggies Burger 'n' More,Yes,No,3.6/5,58,Kumaraswamy Layout,Quick Bites,"Burgers, Fries, Mojito, Chicken Burger","Cafe, Burger, Beverages",650,Delivery
Srinathji's Cafe,No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Delivery
Kollapuri's,No,No,3.9/5,206,Basavanagudi,Quick Bites,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean",450,Delivery
Sugar Stars Co,No,No,,0,Basavanagudi,Bakery,,"Bakery, Desserts",300,Delivery
Bombay Kulfis,No,No,,0,JP Nagar,Dessert Parlor,,Ice Cream,200,Delivery
Kadamba Classic,No,No,3.6/5,16,Mysore Road,Quick Bites,,South Indian,300,Delivery
RS Shiv Sagar,No,No,3.7/5,217,Basavanagudi,Casual Dining,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda","North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery
Kholi Mane,No,No,3.6/5,46,Basavanagudi,Quick Bites,,"Andhra, South Indian, Biryani, North Indian",450,Delivery
Harshi Super Sandwich,No,No,3.8/5,148,Basavanagudi,Quick Bites,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food",150,Delivery
Cake Yard,No,No,3.4/5,30,Basavanagudi,Dessert Parlor,,Desserts,250,Delivery
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,Mysore Road,Casual Dining,,"North Indian, South Indian, Andhra, Chinese",800,Delivery
Sri Udupi Veg,No,No,3.3/5,4,Jayanagar,Quick Bites,,South Indian,250,Delivery
Cake Art,No,No,3.5/5,15,Basavanagudi,"Bakery, Quick Bites",,Bakery,400,Delivery
Aahar Cafe,No,No,,0,Basavanagudi,Quick Bites,,South Indian,100,Delivery
Akash Gowdru Biryani Center,No,No,,0,Uttarahalli,Quick Bites,,"North Indian, Chinese",300,Delivery
New Sri Udupi Restaurant,No,No,,0,Jayanagar,Quick Bites,,"North Indian, South Indian, Chinese, Beverages, Fast Food",200,Delivery
Potato House,Yes,No,3.4/5,9,Uttarahalli,Quick Bites,,Street Food,200,Delivery
Hotel Biriyani Counter,No,No,,0,Vijay Nagar,Quick Bites,,"North Indian, Chinese, Biryani",350,Delivery
Matru Sagar,Yes,No,3.7/5,31,Mysore Road,Quick Bites,,"South Indian, North Indian",300,Delivery
Ugadi,Yes,No,2.9/5,177,Jayanagar,Casual Dining,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha","North Indian, Chinese, Biryani, Andhra, Mangalorean",700,Delivery
Sri Krishna Sweets,Yes,No,3.7/5,22,Basavanagudi,Sweet Shop,,"Mithai, Desserts",250,Delivery
In Time Cane Juice,Yes,No,3.5/5,10,Kumaraswamy Layout,Beverage Shop,,"Juices, Beverages",100,Delivery
Subway,Yes,No,3.7/5,136,Banashankari,Quick Bites,"Veggie Delight, Paneer Tikka, Salad","Salad, Fast Food",600,Delivery
Daal Roti,Yes,No,2.9/5,35,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",250,Delivery
The Lassi Park,Yes,No,4.1/5,185,Jayanagar,Quick Bites,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge","Juices, Desserts",200,Delivery
Cafe Coffee Day,Yes,No,3.2/5,17,Jayanagar,Cafe,,"Cafe, Fast Food",900,Delivery
A2B - Adyar Ananda Bhavan,Yes,No,3.8/5,155,Mysore Road,Casual Dining,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath","South Indian, North Indian, Chinese, Street Food",400,Delivery
Srikrishna Bhavan,Yes,No,3.8/5,42,Banashankari,Quick Bites,"Roti, Masala Dosa","South Indian, North Indian, Chinese",300,Delivery
Timepass Dinner,Yes,No,3.8/5,286,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600,Delivery
Green Gardenia,Yes,No,3.8/5,160,Banashankari,Casual Dining,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti","North Indian, Chinese",700,Delivery
J Spice,Yes,No,3.8/5,59,Banashankari,Casual Dining,"Stuffed Mushroom, Chicken Biryani, Jal-jeera","North Indian, Chinese",750,Delivery
Karavali Family Restaurant,Yes,No,3.5/5,90,Jayanagar,Casual Dining,,"Seafood, Biryani, South Indian, North Indian, Chinese",500,Delivery
Karavali Lunch Home,Yes,No,3.7/5,51,Kumaraswamy Layout,Quick Bites,,"South Indian, Mangalorean",350,Delivery
Hatti Kaapi,Yes,No,4.0/5,89,Jayanagar,Quick Bites,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa","South Indian, Beverages",200,Delivery
Kolkata Kathi Roll's,Yes,No,3.6/5,18,Banashankari,Quick Bites,,"Fast Food, Rolls",250,Delivery
Upahara Darshini,Yes,No,3.9/5,40,Basavanagudi,Casual Dining,Masala Dosa,"North Indian, Chinese, South Indian, Fast Food",600,Delivery
The Chaat Shop,Yes,No,2.5/5,35,Basavanagudi,Quick Bites,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",Fast Food,200,Delivery
Anda Ka Funda,Yes,No,3.4/5,89,Jayanagar,Quick Bites,,"North Indian, Chinese, Rolls",250,Delivery
Shri Vinayaka Ice N Juice,Yes,No,3.2/5,11,Basavanagudi,Quick Bites,,"Beverages, Fast Food",150,Delivery
My Tea House,Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600,Delivery
Ibaco,Yes,No,3.9/5,33,Jayanagar,Dessert Parlor,,Desserts,300,Delivery
Jalaram Sweets,Yes,No,3.8/5,32,Jayanagar,Sweet Shop,,"Desserts, Mithai",250,Delivery
Samskruti - Sanman Gardenia,Yes,No,4.1/5,139,Jayanagar,Casual Dining,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka","North Indian, Chinese, South Indian",550,Delivery
Bendakaluru Bytes,Yes,No,3.2/5,154,Vijay Nagar,Quick Bites,,Fast Food,300,Delivery
Cocoa Bakes,Yes,No,3.6/5,14,Banashankari,Bakery,,"Bakery, Desserts",350,Delivery
Chumma Delicious,Yes,No,3.7/5,237,Banashankari,Quick Bites,Chicken Biryani,"South Indian, Fast Food",200,Delivery
New Prashanth Hotel,Yes,No,3.9/5,388,Banashankari,Casual Dining,"Chicken Biryani, Ragi Mudde, Mutton Chops","Biryani, North Indian, Seafood, Andhra",650,Delivery
SSV Upahar,Yes,No,NEW,0,Jayanagar,Quick Bites,,"South Indian, Chinese",300,Delivery
Dwaraka Grand,Yes,No,3.9/5,128,Kumaraswamy Layout,Casual Dining,"Masala Dosa, Coffee","South Indian, Chinese, Street Food, Juices",500,Delivery
Gufha - The President Hotel,Yes,Yes,4.1/5,1875,Jayanagar,Casual Dining,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","North Indian, Afghani, Mughlai","1,200",Delivery
Cafe Vivacity,Yes,No,3.8/5,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Delivery
Tanna's Kitchen,Yes,No,3.1/5,7,Kumaraswamy Layout,Quick Bites,,"Italian, Chinese, Street Food",250,Delivery
Shree Mandarathi Grand,Yes,No,3.7/5,38,Uttarahalli,Casual Dining,,"South Indian, North Indian",400,Delivery
Mojo Pizza - 2X Toppings,Yes,No,4.2/5,179,Banashankari,Delivery,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",Pizza,600,Delivery
Iceberg Icecreams,Yes,No,4.0/5,43,Basavanagudi,Dessert Parlor,,"Desserts, Ice Cream",250,Delivery
South Kitchen,Yes,No,4.3/5,275,Basavanagudi,Quick Bites,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",South Indian,100,Delivery
Chung Wah,Yes,No,3.7/5,323,Jayanagar,Casual Dining,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings","Chinese, Thai, Momos",850,Delivery
Shanthi Sagar,Yes,No,3.1/5,28,Uttarahalli,Casual Dining,,"South Indian, North Indian, Chinese",400,Delivery
Millet Mama,Yes,No,3.9/5,18,Basavanagudi,Quick Bites,,"South Indian, Healthy Food",200,Delivery
Bangarpet Chat Express,Yes,No,3.3/5,6,Basavanagudi,Quick Bites,,"Street Food, Fast Food",100,Delivery
South Cool Point,Yes,No,,0,Basavanagudi,Dessert Parlor,,Beverages,100,Delivery
Prems Graama Bhojanam,Yes,No,4.3/5,322,Jayanagar,Casual Dining,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",South Indian,400,Delivery
Java City,Yes,No,2.6/5,157,Jayanagar,Cafe,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450,Delivery
Kamat Bugle Rock,Yes,No,3.9/5,543,Basavanagudi,Quick Bites,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani","South Indian, Fast Food",300,Delivery
Woodee Pizza,Yes,No,3.7/5,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500,Delivery
Puliyogare Point,Yes,No,4.2/5,444,Basavanagudi,Quick Bites,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",South Indian,100,Delivery
Bangalore Agarwal Bhavan,Yes,No,3.9/5,134,Jayanagar,Quick Bites,"Paratha, Coffee, Halwa, Lassi","Street Food, North Indian, South Indian",400,Delivery
Rustic Stove,Yes,No,3.8/5,577,Jayanagar,Casual Dining,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish","North Indian, South Indian, Biryani, Beverages",900,Delivery
Udupi Ruchi Grand,Yes,No,4.2/5,60,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",200,Delivery
De Thaali,Yes,No,3.9/5,144,Jayanagar,Casual Dining,"Malai Kofta, Sandwich, Naan","North Indian, Chinese, Rolls",550,Delivery
Spice Elephant,Yes,No,4.1/5,787,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800,Delivery
Just Thindi,Yes,No,3.6/5,16,Basavanagudi,Quick Bites,,South Indian,200,Delivery
Matru Sagar,Yes,No,3.6/5,84,Banashankari,Quick Bites,"Coffee, Masala Dosa","South Indian, North Indian, Chinese",250,Delivery
Vasanth Vihar - Since 1965,Yes,No,3.6/5,95,Banashankari,Quick Bites,,"South Indian, Street Food",150,Delivery
Sea Spice by 7 Star,Yes,Yes,4.0/5,349,Banashankari,Casual Dining,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","1,200",Delivery
Desi Dawat,Yes,No,3.7/5,248,Kumaraswamy Layout,Quick Bites,"Tandoori Chicken, Rolls","North Indian, Fast Food",400,Delivery
Cafe Aira,Yes,No,4.1/5,216,Basavanagudi,Cafe,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles","Cafe, Continental, Beverages, Desserts",500,Delivery
Donne Biriyani combos,Yes,No,,0,Kumaraswamy Layout,Casual Dining,,Biryani,400,Delivery
Penthouse Cafe,Yes,No,4.0/5,324,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700,Delivery
Mast Punjabi,Yes,No,2.6/5,231,Kumaraswamy Layout,Quick Bites,Aloo Paratha,"North Indian, Chinese, Rolls, Biryani, Kebab",400,Delivery
South Grand,Yes,No,3.4/5,102,Uttarahalli,Casual Dining,Rava Dosa,"South Indian, North Indian, Chinese, Beverages",400,Delivery
Catch-up-ino,Yes,No,3.9/5,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Delivery
The Pizzeria,Yes,No,2.8/5,45,Banashankari,Casual Dining,Pesto Pizza,"Pizza, Italian, Salad",800,Delivery
Cafe Zone,Yes,No,3.9/5,149,Kumaraswamy Layout,Quick Bites,,"Fast Food, Chinese, Rolls",300,Delivery
Ruchis Point,Yes,No,3.8/5,75,Banashankari,Quick Bites,"Sandwiches, Noodles, Sandwich","Fast Food, Chinese",200,Delivery
Firangi Bake,Yes,No,4.0/5,53,Rajarajeshwari Nagar,Delivery,"Lasagne, Steak, Masala Quesadilla, Garlic Bread","Mexican, Italian",600,Delivery
The Royal Corner - Pai Viceroy,Yes,Yes,4.2/5,815,Jayanagar,Casual Dining,"Breakfast Buffet, Kulcha, Almond Soup, Lunch Buffet, Roti, Mocktails, Vegetarian","North Indian, Chinese",900,Delivery
Hara Fine Dine,Yes,Yes,4.0/5,633,Banashankari,Casual Dining,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan","North Indian, Chinese",800,Delivery
Chocoberry,Yes,No,3.5/5,56,Jayanagar,Dessert Parlor,"Waffles, Cup Cake, Chocolate Cake","Ice Cream, Desserts, Beverages",400,Delivery
Dakshin Grand,Yes,No,3.0/5,82,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",300,Delivery
Sandwichwallas,Yes,No,3.7/5,35,Jayanagar,Quick Bites,,Fast Food,200,Delivery
Chai Mane,Yes,No,3.6/5,20,Basavanagudi,Quick Bites,,"Juices, Fast Food",150,Delivery
SLV Upachar,Yes,No,3.1/5,14,Kumaraswamy Layout,Quick Bites,,"South Indian, Chinese, Street Food",250,Delivery
Waffle-A-Go Go,Yes,No,3.9/5,70,Banashankari,Dessert Parlor,Waffles,"Fast Food, Desserts, Ice Cream",400,Delivery
Cross Road Cafe,Yes,No,3.9/5,91,Jayanagar,Cafe,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali","Cafe, Fast Food, Chinese",300,Delivery
Anand Donne Biriyani,Yes,No,3.6/5,45,Jayanagar,Quick Bites,,Biryani,200,Delivery
Seven Star,Yes,No,3.4/5,7,Banashankari,Quick Bites,,"North Indian, Chinese",250,Delivery
Stop 'N' Joy,Yes,No,3.8/5,28,Banashankari,Quick Bites,,Fast Food,150,Delivery
Sri Yaksha Shiv Sagar,Yes,No,3.6/5,24,Banashankari,Casual Dining,,"North Indian, Chinese",600,Delivery
Fudge,Yes,No,3.8/5,36,Basavanagudi,Dessert Parlor,,"Desserts, Momos",200,Delivery
Just Bunny,Yes,No,3.5/5,11,Jayanagar,Quick Bites,,Fast Food,200,Delivery
Bakers Town,Yes,No,3.8/5,77,Kumaraswamy Layout,Cafe,"Freak Shake, Fries, Pasta Alfredo","Cafe, Continental, Fast Food",650,Delivery
Shree Mahalakshmi Sweets,Yes,No,3.2/5,8,Banashankari,Sweet Shop,,"Mithai, Street Food",100,Delivery
Kaapi Kendra,Yes,No,3.7/5,14,Jayanagar,Quick Bites,,South Indian,100,Delivery
Ivy,Yes,No,3.8/5,210,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken","North Indian, Chinese, Fast Food",600,Delivery
The Airos,Yes,No,4.1/5,130,Jayanagar,Cafe,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls","Cafe, Italian, Pizza",650,Delivery
Chai Kraft,Yes,No,4.1/5,30,Jayanagar,Beverage Shop,"Masala Chai, Coffee, Masala Tea, Maggi","Beverages, Tea",100,Delivery
Kirthi's Biryani,Yes,No,3.8/5,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Delivery
South Point Pub,Yes,No,3.4/5,11,Basavanagudi,Bar,,"North Indian, Seafood, Chinese",800,Delivery
The Trundle,Yes,No,3.7/5,133,Jayanagar,Casual Dining,"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup","Chinese, Thai, Continental, North Indian",700,Delivery
The Krishna Grand Xpress,Yes,No,4.0/5,136,Jayanagar,Quick Bites,"Vada, Masala Dosa, Idli","South Indian, Fast Food",350,Delivery
Sri Krishna Darshini,Yes,No,3.1/5,4,Basavanagudi,Quick Bites,,"South Indian, North Indian, Chinese",200,Delivery
Shringar Sweets & Snacks,Yes,No,3.5/5,11,Basavanagudi,"Sweet Shop, Quick Bites",,"Mithai, South Indian, Street Food, Fast Food",200,Delivery
Udupi Grand,Yes,No,3.8/5,74,Basavanagudi,Quick Bites,"Coffee, Masala Dosa, Vegetable Biryani","South Indian, North Indian, Chinese",300,Delivery
Ganesh Grand,Yes,No,3.7/5,30,Basavanagudi,Quick Bites,,"South Indian, North Indian, Desserts",300,Delivery
Shreyas Upahar & Burger Point,Yes,No,3.0/5,7,Basavanagudi,Quick Bites,,"South Indian, Burger",200,Delivery
Coffee Tindi,Yes,No,3.8/5,75,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200,Delivery
Little Cafe,Yes,No,3.7/5,54,Basavanagudi,Cafe,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread","Cafe, Beverages",600,Delivery
Mumbai Badam Milk & Lassi Center,Yes,No,3.6/5,23,Basavanagudi,Kiosk,,"Beverages, Desserts",100,Delivery
Sri Krishna Sagar,Yes,No,3.2/5,119,Banashankari,Casual Dining,,"North Indian, Chinese",400,Delivery
Mylari Biryani Family Restaurant,Yes,No,3.7/5,73,Banashankari,Quick Bites,,"Biryani, Fast Food",400,Delivery
1980s Games Cafe,Yes,No,3.4/5,58,Basavanagudi,Cafe,"Maggi, Pasta, Burgers, Sandwiches, Fries","Cafe, Fast Food",400,Delivery
Kadala Tarangaa,Yes,No,3.6/5,129,Banashankari,Casual Dining,"Sea Food, Neer Dosa","Mangalorean, Seafood, North Indian",600,Delivery
Namma Biryani,Yes,No,3.6/5,24,Banashankari,Quick Bites,,"Biryani, Chinese, North Indian",250,Delivery
Nandhanu's Rasoi,Yes,No,3.0/5,175,Kumaraswamy Layout,Quick Bites,,"Chinese, North Indian",400,Delivery
Hotel Pork Paradise,Yes,No,3.7/5,21,Mysore Road,Quick Bites,,South Indian,300,Delivery
As On Fire,Yes,No,3.5/5,41,South Bangalore,Food Truck,Pizza,"Pizza, Fast Food, BBQ",400,Delivery
J K Fish Land,Yes,No,3.6/5,35,Jayanagar,Quick Bites,,"Seafood, Mangalorean",300,Delivery
Curry Leaves,Yes,No,4.1/5,176,Basavanagudi,Casual Dining,"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani","Andhra, North Indian, Chinese",800,Delivery
Lassi Shop,Yes,No,3.5/5,45,Banashankari,Beverage Shop,,"Beverages, Ice Cream, Fast Food",300,Delivery
Magic Meals,Yes,No,3.7/5,47,Jayanagar,"Quick Bites, Dessert Parlor","Biryani, Thick Shakes, Fries","Fast Food, Desserts, Beverages",400,Delivery
